index,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,1/1/92,Kladoumbaye Maxime,Male,Chad,Agence Tchadienne de Presse,,,,,,,,,,,,,,,,,,,,,
1,1/3/92,Ram Singh Biling,Male,India,"Azdi Awaz, Daily Ajit",India,Print,Print Reporter,"Corruption, Human Rights, Politics",Yes,Local,Government Officials,Dangerous Assignment,,Yes,No,No,,,,,,,,,
2,1/15/92,Mustafa Jeha,Male,Lebanon,Al-Amal,Lebanon,Print,Columnist,Politics,No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
3,1/17/92,Paul Jenks,Male,Croatia,European Pressphoto Agency,United Kingdom,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
4,2/9/92,Halit Gungen,Male,Turkey,2000'e Dogru,Turkey,Print,Editor,"Corruption, Human Rights, Politics",No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
5,2/24/92,Cengiz Altun,Male,Turkey,Yeni Ulke,Turkey,Print,Print Reporter,"Corruption, Politics",No,Local,Paramilitary Group,Murder,Yes,No,Yes,No,,,,,,,,,
6,2/27/92,Bakshi Tirath Singh,,India,Hind Samachar,,,,,,,,,,,,,,,,,,,,,
7,3/11/92,Manuel de Dios Unanue,Male,USA,El Diario/La Prensa,Cuba,Print,Editor,Crime,No,Local,Criminal Group,Murder,Partial,No,No,No,,,,,,,,,
8,3/23/92,Izzet Kezer,Male,Turkey,Sabah,Turkey,Print,Print Reporter,War,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
9,4/9/92,Kjasif Smajlovic,Male,Bosnia,Oslobodjenje,Bosnia-Herzegovina,Print,Print Reporter,War,No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
10,4/14/92,Kruno Marinovic,Male,Bosnia,Croatian State Radio,Bosnia-Herzegovina,Radio,Broadcast,War,No,Local,Military Officials,Murder,Yes,Yes,No,No,,,,,,,,,
11,4/29/92,Per-Ove Carlsson,Male,Papua New Guinea,Freelancer,Sweden,Television,Producer,"Politics, War",Yes,Foreign,Political Group,Murder,Yes,No,No,No,,,,,,,,,
12,5/5/92,Murodullo Sheraliev,Male,Tajikistan,Sadoi Mardum,Tajikistan,Print,Editor,,No,Local,Unknown Fire,Dangerous Assignment,,No,No,No,,,,,,,,,
13,5/6/92,Ismael Jaimes,Male,Colombia,La Opinion,Colombia,Print,"Editor, Publisher",Human Rights,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
14,5/7/92,Olim Zarobekov,Male,Tajikistan,Tajikistan Radio,Tajikistan,Radio,Producer,,No,Local,Unknown Fire,Dangerous Assignment,,No,No,No,,,,,,,,,
15,5/7/92,Shirindzhon Amirdzhonov,Male,Tajikistan,Tajikistan Radio,Tajikistan,Radio,Broadcast,,No,Local,Unknown Fire,Dangerous Assignment,,No,No,No,,,,,,,,,
16,5/17/92,Jordi Pujol,Male,Bosnia,Avui,Spain,Print,Photographer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
17,5/18/92,M. L. Manchanda,Male,India,All India Radio,India,Radio,Producer,Politics,No,Local,Political Group,Murder,Yes,Yes,No,No,,,,,,,,,
18,6/2/92,Mecit Akgun,,Turkey,Yeni Ulke,,,,,,,,,,,,,,,,,,,,,
19,6/5/92,Alejandro P_rez,Male,Peru,Channel 2-Frequencia Latina TV,Peru,Television,Producer,"Human Rights, War",No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
20,6/8/92,Hafiz Akdemir,Male,Turkey,Ozgur Gundem,Turkey,Print,Print Reporter,"Corruption, Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
21,6/8/92,Farag Fouda,Male,Egypt,October,Egypt,Print,Columnist,"Corruption, Politics",No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
22,6/15/92,Chingiz Fuad-ogly Mustafayev,Male,Azerbaijan,DR-Press,Azerbaijan,Print,"Photographer, Print Reporter","Human Rights, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
23,6/17/92,Ivo Standeker,Male,Bosnia,Mladina,Slovenia,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
24,6/24/92,Pedro Yauri,Male,Peru,Radio Universal,Peru,Radio,Producer,"Human Rights, War",No,Local,Government Officials,Murder,Yes,Yes,No,No,,,,,,,,,
25,7/1/92,Danilo Vergara,Male,Philippines,Philippine Post,Philippines,Print,"Columnist, Publisher","Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
26,7/1/92,Salko Hondo,Male,Bosnia,Oslobodjenje,Bosnia-Herzegovina,Print,Photographer,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
27,7/3/92,Ladjid Jade Ladja,,Philippines,Prensa Zamboanga,,,,,,,,,,,,,,,,,,,,,
28,7/29/92,Cetin Abayay,Male,Turkey,Ozgur Halk,Turkey,Print,Editor,,No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
29,7/31/92,Yahya Orhan,Male,Turkey,Ozgur Gundem,Turkey,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
30,8/9/92,Huseyin Deniz,Male,Turkey,Ozgur Gundem,Turkey,Print,Columnist,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
31,8/13/92,David Kaplan,Male,Bosnia,ABC News,United States,Television,Producer,"Politics, War",No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
32,8/18/92,Gabrielle Marian Hulsen,Female,Lebanon,Freelancer,Germany,"Print, Television","Broadcast, Print Reporter","Politics, War",Yes,Foreign,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
